Index Name,Date,Open,High,Low,Close
NIFTY 50,2024-12-06,25430.45,25430.5,25292.45,25356.5
NIFTY 50,2024-12-07,25406.65,25445.7,25336.2,25383.75
NIFTY 50,2024-12-08,25416.9,25441.65,25352.25,25418.55
NIFTY 50,2024-12-09,25402.4,25482.2,25285.55,25377.55
NIFTY 50,2024-12-10,25487.05,25611.95,25376.05,25415.8
NIFTY 50,2024-12-11,25525.95,25849.25,25426.6,25790.95
NIFTY 50,2024-12-12,25872.55,25956,25847.35,25939.05
NIFTY 50,2024-12-13,25921.45,26011.55,25886.85,25940.4
NIFTY 50,2024-12-14,25899.45,26032.8,25871.35,26004.15
NIFTY 50,2024-12-15,26005.4,26250.9,25998.4,26216.05
NIFTY 50,2024-12-16,26248.25,26277.35,26151.4,26178.95
NIFTY 50,2024-12-17,26061.3,26134.7,25794.1,25810.85
NIFTY 50,2024-12-18,25788.45,25907.6,25739.2,25796.9
NIFTY 50,2024-12-19,25452.85,25639.45,25230.3,25250.1
NIFTY 50,2024-12-20,25181.9,25485.05,24966.8,25014.6
NIFTY 50,2024-12-21,25084.1,25143,24694.35,24795.75
NIFTY 50,2024-12-22,24832.2,25044,24756.8,25013.15
NIFTY 50,2024-12-23,25065.8,25234.05,24947.7,24981.95
NIFTY 50,2024-12-24,25067.05,25134.05,24979.4,24998.45
NIFTY 50,2024-12-25,24985.3,25028.65,24920.05,24964.25
NIFTY 50,2024-12-26,25023.45,25159.75,25017.5,25127.95
NIFTY 50,2024-12-27,25186.3,25212.05,25008.15,25057.35
NIFTY 50,2024-12-28,25008.55,25093.4,24908.45,24971.3
NIFTY 50,2024-12-29,25027.4,25029.5,24728.9,24749.85
NIFTY 50,2024-12-30,24664.95,24886.2,24567.65,24854.05
NIFTY 50,2024-12-31,24956.15,24978.3,24679.6,24781.1
NIFTY 50,2025-01-01,24798.65,24882,24445.8,24472.1
NIFTY 50,2025-01-02,24378.15,24604.25,24378.1,24435.5
NIFTY 50,2025-01-03,24412.7,24480.65,24341.2,24399.4
NIFTY 50,2025-01-04,24418.05,24440.25,24073.9,24180.8
NIFTY 50,2025-01-05,24251.1,24492.6,24134.9,24339.15
NIFTY 50,2025-01-06,24328.85,24484.5,24140.85,24466.85
NIFTY 50,2025-01-07,24371.45,24498.2,24307.3,24340.85
NIFTY 50,2025-01-08,24349.85,24372.45,24172.6,24205.35
NIFTY 50,2025-01-09,24302.75,24368.25,24280.2,24304.35
NIFTY 50,2025-01-10,24315.75,24316.75,23816.15,23995.35
NIFTY 50,2025-01-11,23916.5,24229.05,23842.75,24213.3
NIFTY 50,2025-01-12,24308.75,24537.6,24204.05,24484.05
NIFTY 50,2025-01-13,24489.6,24503.35,24179.05,24199.35
NIFTY 50,2025-01-14,24207.7,24276.15,24066.65,24148.2
NIFTY 50,2025-01-15,24087.25,24336.8,24004.6,24141.3
NIFTY 50,2025-01-16,24225.8,24242,23839.15,23883.45
NIFTY 50,2025-01-17,23822.45,23873.6,23509.6,23559.05
NIFTY 50,2025-01-18,23542.15,23675.9,23484.15,23532.7
NIFTY 50,2025-01-19,23605.3,23606.8,23350.4,23453.8
NIFTY 50,2025-01-20,23529.55,23780.65,23464.8,23518.5
NIFTY 50,2025-01-21,23488.45,23507.3,23263.15,23349.9
NIFTY 50,2025-01-22,23411.8,23956.1,23359,23907.25
